Name,Image,Description,Category,Rating (out of 10),Playtime (mins),Players,Difficulty (out of 5)
Lords of Waterdeep,=IMAGE("https://cf.geekdo-images.com/-hk8f8iGk_DyWyMrfiPBkg__original/img/GWNOhno3y7g0XE00VacKaRxoczk=/0x0/filters:format(jpeg)/pic1116080.jpg"),"Game description from the publisher:

Waterdeep, the City of Splendors – the most resplendent jewel in the Forgotten Realms, and a den of political intrigue and shady back-alley dealings. In this game, the players are powerful lords vying for control of this great city. Its treasures and resources are ripe for the taking, and that which cannot be gained through trickery and negotiation must be taken by force!

In Lords of Waterdeep, a strategy board game for 2-5 players, you take on the role of one of the masked Lords of Waterdeep, secret rulers of the city. Through your agents, you recruit adventurers to go on quests on your behalf, earning rewards and increasing your influence over the city. Expand the city by purchasing new buildings that open up new actions on the board, and hinder – or help – the other lords by playing Intrigue cards to enact your carefully laid plans.

During the course of play, you may gain points or resources through completing quests, constructing buildings, playing intrigue cards or having other players utilize the buildings you have constructed.  At the end of 8 rounds of play, the player who has accrued the most points wins the game.

","City Building, Fantasy",7.73857,120,2 to 5,2.4535
Magic Maze,=IMAGE("https://cf.geekdo-images.com/wJfDIveg2zpTGn8E1WzEpA__original/img/hlp96WuBfwiCijcfPddNmfgTq6E=/0x0/filters:format(jpeg)/pic3268473.jpg"),"Description from the publisher:

After being stripped of all their possessions, a mage, a warrior, an elf, and a dwarf are forced to go rob the local Magic Maze shopping mall for all the equipment necessary for their next adventure. They agree to map out the labyrinth in its entirety first, then find each individual’s favorite store, and then locate the exit. In order to evade the surveillance of the guards who eyed their arrival suspiciously, all four will pull off their heists simultaneously, then dash to the exit. That's the plan anyway…but can they pull it off?

Magic Maze is a real-time, cooperative game. Each player can control any hero in order to make that hero perform a very specific action, to which the other players do not have access: Move north, explore a new area, ride an escalator… All this requires rigorous cooperation between the players in order to succeed at moving the heroes prudently. However, you are allowed to communicate only for short periods during the game; the rest of the time, you must play without giving any visual or audio cues to each other. If all of the heroes succeed in leaving the shopping mall in the limited time allotted for the game, each having stolen a very specific item, then everyone wins together.

At the start of the game, you have only three minutes in which to take actions. Hourglass spaces you encounter along the way give you more time. If the sand timer ever completely runs out, all players lose the game: Your loitering has aroused suspicion, and the mall security guards nab you!

","Exploration, Fantasy, Maze, Real-time",6.97707,15,1 to 8,1.7713
Adult Drinking Games Compendium,=IMAGE("https://cf.geekdo-images.com/rpsIdskkpGkSNLMXot5FCQ__original/img/QdpQneKZzdeT_amKwGTnn5PCUYI=/0x0/filters:format(jpeg)/pic96150.jpg"),"25 all-time great drinking games. You've probably even heard of some of them: Spooks (ghost), Liar Dice, Fizz Buzz, Name Game, Wink Death, Slap - Clap.

The game box contains the rules for 25 simple drinking games along with some of the necessary equipment for playing them: paper, pencils, dice, cards, corks, etc. The players may need to supply other common items such as pennies, handkerchiefs, bottles, glasses, and beverages.

All these games end up with the loser(s) having to take a drink. Which in turn will make the losing player more likely to keep losing. In the tradition of bar games, the point of all these games is to have silly fun with friends.

The instructions included in the box state
""WARNING These games have been assembled in a spirit of fun - We strongly recommend they are not played with alcoholic beverages. If they are played with alcohol we urge players to exercise moderation in their alcohol consumption. MOST PARTICULARLY DON'T EVER DRINK AND DRIVE!""

","Action / Dexterity, Bluffing, Card Game, Dice, Humor, Mature / Adult, Memory, Party Game",3.64706,0,2 to 2,0.0
Scrabble,=IMAGE("https://cf.geekdo-images.com/mVmmntn2oQd0PfFrWBvwIQ__original/img/11jrKPiOVTNl5NwX83KGtTZEq40=/0x0/filters:format(jpeg)/pic404651.jpg"),"In this classic word game, players use their seven drawn letter-tiles to form words on the gameboard. Each word laid out earns points based on the commonality of the letters used, with certain board spaces giving bonuses.  But a word can only be played if it uses at least one already-played tile or adds to an already-played word.  This leads to slightly tactical play, as potential words are rejected because they would give an opponent too much access to the better bonus spaces.

Skip-a-cross was licensed by Selchow & Righter and manufactured by Cadaco. Both games have identical rules but Skip-a-cross has tiles and racks made of cardboard instead of wood. The game was also published because not enough Scrabble games were manufactured to meet the demand.

",Word Game,6.26908,90,2 to 4,2.0733
Azul,=IMAGE("https://cf.geekdo-images.com/aPSHJO0d0XOpQR5X-wJonw__original/img/AkbtYVc6xXJF3c9EUrakklcclKw=/0x0/filters:format(png)/pic6973671.png"")","Introduced by the Moors, azuleijos (originally white and blue ceramic tiles) were fully embraced by the Portuguese when their king Manuel I, on a visit to the Alhambra palace in Southern Spain, was mesmerized by the stunning beauty of the Moorish decorative tiles. The king, awestruck by the interior beauty of the Alhambra, immediately ordered that his own palace in Portugal be decorated with similar wall tiles. As a tile-laying artist, you have been challenged to embellish the walls of the Royal Palace of Evora.

In the game Azul, players take turns drafting colored tiles from suppliers to their player board. Later in the round, players score points based on how they've placed their tiles to decorate the palace. Extra points are scored for specific patterns and completing sets; wasted supplies harm the player's score. The player with the most points at the end of the game wins.

","Abstract Strategy, Puzzle, Renaissance",7.76346,45,2 to 4,1.7602
Codenames,=IMAGE("https://cf.geekdo-images.com/F_KDEu0GjdClml8N7c8Imw__original/img/gcX_EfjsRpB5fI4Ug4XV73G4jGI=/0x0/filters:format(jpeg)/pic2582929.jpg"),"Codenames is an easy party game to solve puzzles. 
The game is divided into red and blue, each side has a team leader, the team leader's goal is to lead their team to the final victory. 
At the beginning of the game, there will be 25 cards on the table with different words. Each card has a corresponding position, representing different colors. 
Only the team leader can see the color of the card. The team leader should prompt according to the words, let his team members find out the cards of their corresponding colors, and find out all the cards of their own colors to win.

","Card Game, Deduction, Party Game, Spies/Secret Agents, Word Game",7.56307,15,2 to 8,1.2696
Monikers,=IMAGE("https://cf.geekdo-images.com/4ipWVnxUSwnSVywPTitgvQ__original/img/8HVhyVZH9-j3g2vge43Xvji-vX0=/0x0/filters:format(png)/pic6346032.png"")","Monikers is a party game based on the public domain game Celebrity, where players take turns attempting to get their teammates to guess names by describing or imitating well-known people.

In the first round, clue givers can say anything they want, except for the name itself. For the second round, clue givers can only say one word. And in the final round, clue givers can’t say anything at all: they can only use gestures and charades.

Based on the public domain game known as Celebrities.

","Card Game, Humor, Mature / Adult, Party Game, Print & Play",7.78201,60,4 to 16,1.0882
Exploding Kittens,=IMAGE("https://cf.geekdo-images.com/N8bL53-pRU7zaXDTrEaYrw__original/img/0ciN1VZYifUd0qIDO0e8cGXmiss=/0x0/filters:format(png)/pic2691976.png"")","Exploding Kittens is a kitty-powered version of Russian Roulette. Players take turns drawing cards until someone draws an exploding kitten and loses the game. The deck is made up of cards that let you avoid exploding by peeking at cards before you draw, forcing your opponent to draw multiple cards, or shuffling the deck.

The game gets more and more intense with each card you draw because fewer cards left in the deck means a greater chance of drawing the kitten and exploding in a fiery ball of feline hyperbole.

","Animals, Card Game, Comic Book / Strip, Humor",6.04592,15,2 to 5,1.091
Dominion,=IMAGE("https://cf.geekdo-images.com/j6iQpZ4XkemZP07HNCODBA__original/img/96COuakNiLRrjDLc1sM4Zxsw4WE=/0x0/filters:format(jpeg)/pic394356.jpg"),"""You are a monarch, like your parents before you, a ruler of a small pleasant kingdom of rivers and evergreens. Unlike your parents, however, you have hopes and dreams! You want a bigger and more pleasant kingdom, with more rivers and a wider variety of trees. You want a Dominion! In all directions lie fiefs, freeholds, and feodums. All are small bits of land, controlled by petty lords and verging on anarchy. You will bring civilization to these people, uniting them under your banner.

But wait! It must be something in the air; several other monarchs have had the exact same idea. You must race to get as much of the unclaimed land as possible, fending them off along the way. To do this you will hire minions, construct buildings, spruce up your castle, and fill the coffers of your treasury. Your parents wouldn't be proud, but your grandparents, on your mother's side, would be delighted.""

—description from the back of the box

In Dominion, each player starts with an identical, very small deck of cards.  In the center of the table is a selection of other cards the players can ""buy"" as they can afford them.  Through their selection of cards to buy, and how they play their hands as they draw them, the players construct their deck on the fly, striving for the most efficient path to the precious victory points by game end.

Dominion is not a CCG, but the play of the game is similar to the construction and play of a CCG deck. The game comes with 500 cards. You select 10 of the 25 Kingdom card types to include in any given play—leading to immense variety.

—user summary

Part of the Dominion series.

","Card Game, Medieval",7.60048,30,2 to 4,2.3513
Dominion: Intrigue,=IMAGE("https://cf.geekdo-images.com/OGOmpi0GgwOwH2y28QgkuA__original/img/VHMKsFZvoK2KKGZiLyoKZb_YhNQ=/0x0/filters:format(jpeg)/pic460011.jpg"),"In Dominion: Intrigue (as with Dominion), each player starts with an identical, very small deck of cards. In the center of the table is a selection of other cards the players can ""buy"" as they can afford them. Through their selection of cards to buy, and how they play their hands as they draw them, the players construct their deck on the fly, striving for the most efficient path to the precious victory points by game end.

From the back of the box: ""Something’s afoot. The steward smiles at you like he has a secret, or like he thinks you have a secret, or like you think he thinks you have a secret. There are secret plots brewing, you’re sure of it. At the very least, there are yours. A passing servant murmurs, “The eggs are on the plate.” You frantically search your codebook for the translation before realizing he means that breakfast is ready. Excellent. Everything is going according to plan.""

Dominion: Intrigue adds rules for playing with up to 8 players at two tables or for playing a single game with up to 6 players when combined with Dominion. This game adds 25 new Kingdom cards and a complete set of Treasure and Victory cards. The game can be played alone by players experienced in Dominion or with the basic game of Dominion.

Part of the Dominion series.

Integrates with:

    Dominion


Also released as an expansion that requires the base game or card set to play: Dominion: Die Intrige â€“ Erweiterung.

","Card Game, Medieval",7.69362,30,2 to 6,2.4162
Twister,=IMAGE("https://cf.geekdo-images.com/q-24XBqu2o3KGnaGzNVnuA__original/img/N0hzmxDpAtdWbNcnqUFepvsKSOQ=/0x0/filters:format(jpeg)/pic6684003.jpg"),"A large vinyl playing mat is placed on the floor, with a 6 x 4 array of spots, each spot about 6 inches in diameter. The spots are colored red, blue, yellow, and green. A player is chosen to moderate, and the rest of the players, up to 4, stand on the play mat with their feet on different spots.

Each turn consists of the moderator spinning a spinner, which gives a result matching a random color with a random element from the set (left hand, right hand, left foot, right foot). Each player must put the relevant bodypart on the relevant color spot. If the bodypart is already on a spot of that color it is moved to another spot of the same color. No two players bodyparts can share the same spot. If a player falls or touches an elbow or knee to the ground they are eliminated.

Iterate until one player remains.

This classic party game became an overnight hit when on May 3, 1966 when Johnny Carson played it during the Tonight Show with Eva Gabor (see: http://www.boardgamegeek.com/image/104221).

","Action / Dexterity, Children's Game, Party Game",4.53925,10,2 to 4,1.084
Monopoly: The Lord of the Rings Trilogy Edition,=IMAGE("https://cf.geekdo-images.com/NfUikN4kwiqJTz5eYdhZeg__original/img/G4wABcyZTotcF7LnZbadH3WSyEU=/0x0/filters:format(jpeg)/pic32934.jpg"),"Make the journey with the Fellowship and claim the territories of Middle-earth in this special edition of the classic MONOPOLY Game. Gather power as you move in and out of these territories, building strongholds and fortresses to secure your holdings. You may even acquire relics such as the staffs of the wizards. Become the most powerful player throughout middle-earth to be the winner. Includes 6 collectible The Lord of the Rings tokens.

","Economic, Movies / TV / Radio theme, Negotiation, Novel-based",5.42998,60,2 to 6,1.5806
Dune,=IMAGE("https://cf.geekdo-images.com/BU8s0uY97Hle4mqUOj8f1g__original/img/GJp5GfzIdwzPgQDXxpBjCPRP_K8=/0x0/filters:format(jpeg)/pic279251.jpg"),"Set thousands of years in the future, Dune the board game is based on the Frank Herbert novels about an arid planet at the heart of the human space empire's political machinations.

Designed by the creators at Eon of Cosmic Encounter fame, some contend that the game can best be described as Cosmic Encounter set within the Dune universe, but the two games bear little in common in the actual mechanisms or goals; they're just both set in space. Like Cosmic Encounter, it is a game that generates player interaction through negotiation and bluffing.

Players each take the role of one of the factions attempting to control Dune. Each faction has special powers that overlook certain rules in the game. Each turn players move about the map attempting to pick up valuable spice while dealing with giant sandworms, deadly storms, and other players' military forces. A delicate political balance is formed amongst the factions to prevent any one side from becoming too strong. When a challenge is made in a territory, combat takes the form of hidden bids with additional treachery cards to further the uncertainty.

The game concludes when one faction (or two allied factions) is able to control a certain number of strongholds on the planet.

Note that the Descartes edition of Dune includes the Duel Expansion and Spice Harvest Expansion, the Landsraad variant from Avalon Hill's General magazine, and additional character disks not provided by AH.

","Bluffing, Fighting, Negotiation, Novel-based, Political, Science Fiction",7.6001,180,2 to 6,3.4501
Pictomania,=IMAGE("https://cf.geekdo-images.com/0m0X8qZxfARpz0lmzjxSEw__original/img/Pmg6ToAhHrfbccB29JaN0emETec=/0x0/filters:format(png)/pic2360788.png"")","Pictomania is a drawing game in which everyone is both drawing and guessing at the same time, giving a chance for those who excel only at one or the other skill to crush the dreams of other players.

Pictomania lasts five rounds, and at the start of each round, you set up six randomly drawn cards on card racks visible to all players. Cards are double-sided, come in four levels of difficulty, and include seven related words on a single side. In addition to a set of guessing cards, scoring tokens, marker and drawing board, each player receives one symbol card and one number card, which together indicate which word or phrase on the revealed cards that player must draw. Bonus tokens equal to one less than the number of players are placed in the center of the table.

Players simultaneously look at their cards and start to draw. While drawing, they can also watch what others are doing and place a guess card on that player's stack. Only one guess per player is allowed, and once you make a guess, you can't change your mind. Other players will ideally be playing guess cards on your stack, too. Once you have finished drawing and guessing – and you're not required to do either – take the highest-valued bonus token from the center of the table and take no other actions. Once the final bonus token is claimed, the round ends.

One by one, players reveal what they were drawing and the guesses that others made. Those who guess your word earn one of your scoring tokens, with early guessers earning more points, while those who guess incorrectly have their card placed in the center of the table. Once all the guesses are resolved, you determine the black sheep – the player who made the worst guesses. If a single player has more cards in the center of the table than anyone else, then his bonus token (if any) counts as negative points. What's more, if no one guessed your word, then you throw away your bonus token, scoring nothing for it. You sum positive points for the round (a bonus token scored, and scoring tokens from the words you guessed correctly), then subtract points for the black sheep ""bonus"" and all the scoring tokens you didn't give away to determine your final score for the round, which could be negative.

Reset the bonus and scoring tokens, set up six new cards, hand out the symbol and number cards and start another round. The player with the highest score after five rounds wins.

","Party Game, Real-time",7.26425,25,3 to 6,1.5259
Cockroach Poker,=IMAGE("https://cf.geekdo-images.com/lHadyVLPUQfNz_qV6MMp_Q__original/img/qN8xusrxWyTJfgq1gTUWrdE4B2I=/0x0/filters:format(jpeg)/pic3218988.jpg"),"Cockroach Poker is a reverse set collection game that has nothing to do with poker – except that the game is all about bluffing, with cards that show cockroaches, rats and stink bugs. The goal is to force another player to collect 4 of any one type of critter.

The deck includes 64 cards, with eight copies of eight types of critters. To set up the game, shuffle the deck and deal the cards out to players.

On a turn, a player takes one card from his hand, lays it face down on the table, slides it to a player of his choice, and declares a type of critter, e.g., ""Stink bug"". The player receiving the card either


     Accepts the card, says either ""true"" or ""false"", then reveals the card. If this player is wrong in her claim, she keeps the card on the table in front of her face up; if she is right, the player who gave her the card places it face up before him.



     Peeks at the card, then passes it face down to another player, either saying the original type of critter or saying a new type. This new player again has the choice of accepting the card or passing it, unless the card has already been seen by all other players in which case the player must take the first option.


Whoever lost a challenge and had to place the card before him on the table begins the next round.

The game ends when a player has no cards to pass on his turn or when a player has four cards of the same critter on the table in front of him. In either case, this player loses and everyone else wins.

","Bluffing, Card Game, Party Game",6.77585,20,2 to 6,1.1074
Press Start Pocket: Series 1,=IMAGE("https://cf.geekdo-images.com/hGbnqoHyHEiKbn0b1Gilxw__original/img/5ODeu4qypbYkHwM0YzAIKLx_T7c=/0x0/filters:format(jpeg)/pic1934504.jpg"),"Press Start Pocket is a 2 player game deck of 56 cards.

Each deck (Series 1, Series 2, Series 3) is a stand-alone 2 player game. Two decks can be combined for a 3-4 player game, and 3 decks can be combined for a 5-6 player game. Combining decks also gives expanded capabilities for warriors.


Battle to win control of the pixel world.

Players start with a video game warrior and battle their opponent to take control of the video game universe.

There is no hiding, to win you have to battle.

Overview:

Both players get 7 cards and the rest of the cards are placed in 2 piles face down in the middle of the table.

Pile 1 is a warrior card pile

Pile 2 is an action card pile

The first player draws and action card then either attacks, plays a gather card to earn points toward another warrior or discards.

During a battle the players follow the attacks and counters rule according to the reference card.

To win a player must win 3 battles or earn 4 soldiers all alive at once.

Integrates with:


    Press Start Pocket: Series 2 
    Press Start Pocket: Series 3


",Card Game,4.94211,15,2 to 2,1.0
